scenario,query,actual_output,retrieval_context
Activity/Purpose Based,1. I need something comfortable for walking around the city all day,"Name: Nike Dunk Low 'Berlin', Description: Name: Nike Dunk Low 'Berlin'
        Description: In a nod to the city of Berlin, this Dunk Low gives an iconic sneaker known for its attitude an even sharper edge. The black and Off-Noir colourway pays homage to the city's rich history and bustling nightlife. Real and synthetic leather mix with glossy patent-leather accents, capturing Berlin's nocturnal allure and the dance of neon lights as they buzz and flicker after dark. 

Inside, a ""no photography allowed"" tongue label gives a subtle nod to the exclusivity of the underground club scene. Reflective design accents inspired by tattoo designs wrap the heel, calling out the sneaker's namesake with an esoteric artistic expression. Cool Grey accents, custom insoles and hoop-and-ball charms complete the design. Tattoos, piercings, underground nightlife teeming with grit—Berlin, this Dunk's for you.
        Colorway: Off Noir/Cool Grey/Black/Jade Horizon
        Main Color: Black
        Category: Lifestyle","Name: Nike Dunk Low 'Berlin', Description: Name: Nike Dunk Low 'Berlin'
        Description: In a nod to the city of Berlin, this Dunk Low gives an iconic sneaker known for its attitude an even sharper edge. The black and Off-Noir colourway pays homage to the city's rich history and bustling nightlife. Real and synthetic leather mix with glossy patent-leather accents, capturing Berlin's nocturnal allure and the dance of neon lights as they buzz and flicker after dark. 

Inside, a ""no photography allowed"" tongue label gives a subtle nod to the exclusivity of the underground club scene. Reflective design accents inspired by tattoo designs wrap the heel, calling out the sneaker's namesake with an esoteric artistic expression. Cool Grey accents, custom insoles and hoop-and-ball charms complete the design. Tattoos, piercings, underground nightlife teeming with grit—Berlin, this Dunk's for you.
        Colorway: Off Noir/Cool Grey/Black/Jade Horizon
        Main Color: Black
        Category: Lifestyle"
Activity/Purpose Based,2. Looking for shoes that I can wear both at the gym and casual outings,"Name: Nike Dunk Low SE ‘Sashiko Industrial Blue’, Description: Name: Nike Dunk Low SE ‘Sashiko Industrial Blue’
        Description: The Nike Dunk Low SE ‘Sashiko Industrial Blue’ delivers a recrafted take on the ‘80s sneaker icon. In lieu of a standard leather build, the upper is constructed from textile twill, featuring a white base with blue overlays and a color-matched Swoosh. Sashiko-style stitching enlivens the toe box and heel tab, while a woven Nike tag decorates the tongue. The sneaker is mounted on a rubber cupsole that pairs white sidewalls with a grippy blue rubber outsole.
        Colorway: Summit White/Summit White/Industrial Blue/Industrial Blue
        Main Color: Blue
        Category: Lifestyle","Name: Nike Dunk Low SE ‘Sashiko Industrial Blue’, Description: Name: Nike Dunk Low SE ‘Sashiko Industrial Blue’
        Description: The Nike Dunk Low SE ‘Sashiko Industrial Blue’ delivers a recrafted take on the ‘80s sneaker icon. In lieu of a standard leather build, the upper is constructed from textile twill, featuring a white base with blue overlays and a color-matched Swoosh. Sashiko-style stitching enlivens the toe box and heel tab, while a woven Nike tag decorates the tongue. The sneaker is mounted on a rubber cupsole that pairs white sidewalls with a grippy blue rubber outsole.
        Colorway: Summit White/Summit White/Industrial Blue/Industrial Blue
        Main Color: Blue
        Category: Lifestyle"
Activity/Purpose Based,3. Need something for my daily morning jogs,"Name: Nike Zoom Fly 5 EK Eliud Kipchoge, Description: Name: Nike Zoom Fly 5 EK Eliud Kipchoge
        Description: The Nike Zoom Fly 5 EK Eliud Kipchoge is inspired by the shoe this legendary runner was wearing in Rome in 2004 when he broke the 5K world record.

The Eliud Kipchoge Nike Zoom Fly 5 EK features a lightweight, breathable upper composed of white mesh. A thick red stripe courses from the midsole to the eyestays on the side panel, and the tail of the black outlined Nike Swoosh crosses over it. An off-white Zoom X foam midsole offers bounce and energy return in its light, responsive cushioning system. A full-length articulated plate is inserted under foot to deliver a propulsion sensation that provides a smooth transition at different paces. And finally, black rubber pods at the forefoot and heel comprise the durable outsole.

What we find most delightful about this elite running shoe are the personal Eliud Kipchoge touches. One medial midsole sports his motto ""No human is limited,"" and the other features his signature. The Nike Zoom Fly 5 EK Eliud Kipchoge was released on August 31, 2023, for $160 retail.
        Colorway: White/Chile Red/Coconut Milk/Black
        Main Color: White
        Category: Running","Name: Nike Zoom Fly 5 EK Eliud Kipchoge, Description: Name: Nike Zoom Fly 5 EK Eliud Kipchoge
        Description: The Nike Zoom Fly 5 EK Eliud Kipchoge is inspired by the shoe this legendary runner was wearing in Rome in 2004 when he broke the 5K world record.

The Eliud Kipchoge Nike Zoom Fly 5 EK features a lightweight, breathable upper composed of white mesh. A thick red stripe courses from the midsole to the eyestays on the side panel, and the tail of the black outlined Nike Swoosh crosses over it. An off-white Zoom X foam midsole offers bounce and energy return in its light, responsive cushioning system. A full-length articulated plate is inserted under foot to deliver a propulsion sensation that provides a smooth transition at different paces. And finally, black rubber pods at the forefoot and heel comprise the durable outsole.

What we find most delightful about this elite running shoe are the personal Eliud Kipchoge touches. One medial midsole sports his motto ""No human is limited,"" and the other features his signature. The Nike Zoom Fly 5 EK Eliud Kipchoge was released on August 31, 2023, for $160 retail.
        Colorway: White/Chile Red/Coconut Milk/Black
        Main Color: White
        Category: Running"
Style/Appearance Based,1. I want something that looks vintage but still modern,"Name: Nike Blazer Mid '77 Vintage 'White Black', Description: Name: Nike Blazer Mid '77 Vintage 'White Black'
        Description: As one of the first Nike basketball sneakers ever released, the Nike Blazer has a long heritage. The Nike Blazer Mid ’77 Vintage ‘White Black’ pays homage to its history with an old-school look. The upper comes in white leather, with an OG Swoosh taking up the side, and a deconstructed tongue with vintage branding. Two forefoot overlays come in a hairy tonal suede, and the rear branding features a distressed ‘NIKE’ logo.
        Colorway: White/Black
        Main Color: White
        Category: Lifestyle","Name: Nike Blazer Mid '77 Vintage 'White Black', Description: Name: Nike Blazer Mid '77 Vintage 'White Black'
        Description: As one of the first Nike basketball sneakers ever released, the Nike Blazer has a long heritage. The Nike Blazer Mid ’77 Vintage ‘White Black’ pays homage to its history with an old-school look. The upper comes in white leather, with an OG Swoosh taking up the side, and a deconstructed tongue with vintage branding. Two forefoot overlays come in a hairy tonal suede, and the rear branding features a distressed ‘NIKE’ logo.
        Colorway: White/Black
        Main Color: White
        Category: Lifestyle"
Style/Appearance Based,2. Looking for sneakers that aren't too flashy but still stylish,"Name: Converse TURBOWPN Mid Rick Owens DRKSHDW Black Cloud Cream, Description: Name: Converse TURBOWPN Mid Rick Owens DRKSHDW Black Cloud Cream
        Description: The Converse TURBOWPN Mid Rick Owens DRKSHDW Black White is a sleek and stylish sneaker that combines the iconic Converse silhouette with the avant-garde design of Rick Owens. The shoe features a black and white colorway, with a premium leather upper and a chunky rubber sole for added durability and comfort. Released on January 10th, 2023, the Converse TURBOWPN Mid Rick Owens DRKSHDW Black White is a highly sought-after sneaker that is sure to turn heads. With a retail price of $200, this shoe is a must-have for any sneaker enthusiast or fashion-forward individual. One of the standout features of the Converse TURBOWPN Mid Rick Owens DRKSHDW Black White is its unique design, which combines the classic Converse look with Rick Owens' signature style. The shoe is also made with high-quality materials, ensuring that it will last for years to come. Something we love about the Converse TURBOWPN Mid Rick Owens DRKSHDW Black White is its ability to seamlessly blend classic and contemporary design elements. Our experts think that the premium leather upper and chunky rubber sole are the best features of this shoe, as they provide both style and comfort. Overall, we love the Converse TURBOWPN Mid Rick Owens DRKSHDW Black White for its unique design and high-quality construction.
        Colorway: Black/Cloud Cream/Egret
        Main Color: Black
        Category: Lifestyle","Name: Converse TURBOWPN Mid Rick Owens DRKSHDW Black Cloud Cream, Description: Name: Converse TURBOWPN Mid Rick Owens DRKSHDW Black Cloud Cream
        Description: The Converse TURBOWPN Mid Rick Owens DRKSHDW Black White is a sleek and stylish sneaker that combines the iconic Converse silhouette with the avant-garde design of Rick Owens. The shoe features a black and white colorway, with a premium leather upper and a chunky rubber sole for added durability and comfort. Released on January 10th, 2023, the Converse TURBOWPN Mid Rick Owens DRKSHDW Black White is a highly sought-after sneaker that is sure to turn heads. With a retail price of $200, this shoe is a must-have for any sneaker enthusiast or fashion-forward individual. One of the standout features of the Converse TURBOWPN Mid Rick Owens DRKSHDW Black White is its unique design, which combines the classic Converse look with Rick Owens' signature style. The shoe is also made with high-quality materials, ensuring that it will last for years to come. Something we love about the Converse TURBOWPN Mid Rick Owens DRKSHDW Black White is its ability to seamlessly blend classic and contemporary design elements. Our experts think that the premium leather upper and chunky rubber sole are the best features of this shoe, as they provide both style and comfort. Overall, we love the Converse TURBOWPN Mid Rick Owens DRKSHDW Black White for its unique design and high-quality construction.
        Colorway: Black/Cloud Cream/Egret
        Main Color: Black
        Category: Lifestyle"
Style/Appearance Based,3. Want some cool streetwear vibes in my shoes,"Name: Nike Dunk Low 'Berlin', Description: Name: Nike Dunk Low 'Berlin'
        Description: In a nod to the city of Berlin, this Dunk Low gives an iconic sneaker known for its attitude an even sharper edge. The black and Off-Noir colourway pays homage to the city's rich history and bustling nightlife. Real and synthetic leather mix with glossy patent-leather accents, capturing Berlin's nocturnal allure and the dance of neon lights as they buzz and flicker after dark. 

Inside, a ""no photography allowed"" tongue label gives a subtle nod to the exclusivity of the underground club scene. Reflective design accents inspired by tattoo designs wrap the heel, calling out the sneaker's namesake with an esoteric artistic expression. Cool Grey accents, custom insoles and hoop-and-ball charms complete the design. Tattoos, piercings, underground nightlife teeming with grit—Berlin, this Dunk's for you.
        Colorway: Off Noir/Cool Grey/Black/Jade Horizon
        Main Color: Black
        Category: Lifestyle","Name: Nike Dunk Low 'Berlin', Description: Name: Nike Dunk Low 'Berlin'
        Description: In a nod to the city of Berlin, this Dunk Low gives an iconic sneaker known for its attitude an even sharper edge. The black and Off-Noir colourway pays homage to the city's rich history and bustling nightlife. Real and synthetic leather mix with glossy patent-leather accents, capturing Berlin's nocturnal allure and the dance of neon lights as they buzz and flicker after dark. 

Inside, a ""no photography allowed"" tongue label gives a subtle nod to the exclusivity of the underground club scene. Reflective design accents inspired by tattoo designs wrap the heel, calling out the sneaker's namesake with an esoteric artistic expression. Cool Grey accents, custom insoles and hoop-and-ball charms complete the design. Tattoos, piercings, underground nightlife teeming with grit—Berlin, this Dunk's for you.
        Colorway: Off Noir/Cool Grey/Black/Jade Horizon
        Main Color: Black
        Category: Lifestyle"
Comfort/Experience Based,"1. My feet hurt after long walks, need something supportive","Name: Nike React Pegasus Trail 4 Gore-Tex Black Wolf Grey, Description: Name: Nike React Pegasus Trail 4 Gore-Tex Black Wolf Grey
        Description: The Nike React Pegasus Trail 4 Gore-Tex Black Wolf Gray is trail running sneaker with waterproof features.

Something that makes this shoe stand out is the Gore-Tex along the upper. It helps keep the foot dry without adding weight or sacrificing comfort. The sneaker boasts an all-black construction with Wolf Gray and reflective detailing. Flecks of reflective material in the laces and a strip along the side panels improve visibility in low lighting and add a pop of silver. Unlike other trail running sneakers, this version of the React Pegasus Trail 4 has less rubber on the outsole. This allows the runner to transition from rough terrain to pavement. Other notable features include the full-length Boost unit in the midsole and the grippy traction pattern underfoot.

Our StockX experts like that some versions of the sneaker feature ‘JUST DO IT’ along the midsole, while others display ‘JUST RUN IT.’ The Nike React Pegasus Trail 4 Gore-Tex Black Wolf Gray was released on August 9th, 2022, and retailed at $160.
        Colorway: Black/Wolf Grey-Reflective Silver
        Main Color: Black
        Category: Running","Name: Nike React Pegasus Trail 4 Gore-Tex Black Wolf Grey, Description: Name: Nike React Pegasus Trail 4 Gore-Tex Black Wolf Grey
        Description: The Nike React Pegasus Trail 4 Gore-Tex Black Wolf Gray is trail running sneaker with waterproof features.

Something that makes this shoe stand out is the Gore-Tex along the upper. It helps keep the foot dry without adding weight or sacrificing comfort. The sneaker boasts an all-black construction with Wolf Gray and reflective detailing. Flecks of reflective material in the laces and a strip along the side panels improve visibility in low lighting and add a pop of silver. Unlike other trail running sneakers, this version of the React Pegasus Trail 4 has less rubber on the outsole. This allows the runner to transition from rough terrain to pavement. Other notable features include the full-length Boost unit in the midsole and the grippy traction pattern underfoot.

Our StockX experts like that some versions of the sneaker feature ‘JUST DO IT’ along the midsole, while others display ‘JUST RUN IT.’ The Nike React Pegasus Trail 4 Gore-Tex Black Wolf Gray was released on August 9th, 2022, and retailed at $160.
        Colorway: Black/Wolf Grey-Reflective Silver
        Main Color: Black
        Category: Running"
Comfort/Experience Based,2. Want something light and breathable for summer,"Name: Air Jordan 5 Retro 'Olive' 2024, Description: Name: Air Jordan 5 Retro 'Olive' 2024
        Description: The 2024 edition of the Air Jordan 5 Retro ‘Olive’ brings back a popular colorway from Jordan Brand’s 2006 Lifestyle Series. Crafted from textured suede in a muted olive green hue, the upper features tonal molded eyelets and breathable quarter panel netting. Contrasting orange accents make their way to the interior lining, as well as the Jumpman logo hits that decorate the back heel and reflective tongue. Orange shark-tooth detailing decorates the olive-hued polyurethane midsole, fitted with visible Air-sole cushioning and reinforced by a translucent rubber outsole.
        Colorway: Army Olive/Solar Orange
        Main Color: Green
        Category: Lifestyle","Name: Air Jordan 5 Retro 'Olive' 2024, Description: Name: Air Jordan 5 Retro 'Olive' 2024
        Description: The 2024 edition of the Air Jordan 5 Retro ‘Olive’ brings back a popular colorway from Jordan Brand’s 2006 Lifestyle Series. Crafted from textured suede in a muted olive green hue, the upper features tonal molded eyelets and breathable quarter panel netting. Contrasting orange accents make their way to the interior lining, as well as the Jumpman logo hits that decorate the back heel and reflective tongue. Orange shark-tooth detailing decorates the olive-hued polyurethane midsole, fitted with visible Air-sole cushioning and reinforced by a translucent rubber outsole.
        Colorway: Army Olive/Solar Orange
        Main Color: Green
        Category: Lifestyle"
